Name,Phone Number,Image Links 1,Image Links 2,Image Links 3,Google maps ID,Latitude,Longitude,Adress,Website,,,,,,,,,,,,,,,,,,
Angel Treuhand,+41 76 320 11 33,https://lh3.googleusercontent.com/p/AF1QipNWLqzflb3EU_1RnvVLegdeCxMRPJrR2wCtJfPe=s1360-w1360-h1020,https://lh3.googleusercontent.com/p/AF1QipPuNerzoegt3UfoapLQp_VEplRDsPJkHCyrNc6E=s1360-w1360-h1020,https://lh3.googleusercontent.com/p/AF1QipNb0saRHaoqVhL6OkKoc7jrd7D4j10ZNJ9j85ie=s1360-w1360-h1020,ChIJHTARbgQLkEcRLzJNltvTGFQ,@47.3752156,8.4823901,"Albisriederstrasse 369, 8047 Zürich, Switzerland",http://www.angelgmbh.ch/,,,,,,,,,,,,,,,,,,
Arcus Treuhand AG,+41 44 487 10 40,,,,ChIJoxEGMOcJkEcRmPO1RAzcJx4,@47.3496963,8.5259149,"Abendweg 4, 8038 Zürich, Switzerland",http://www.arcustreuhand.ch/,,,,,,,,,,,,,,,,,,
Argo Treuhand AG,+41 44 262 07 70,,,,ChIJyd2Y7FKnmkcRed47l_SrT24,@47.3645101,8.5499896,"Holbeinstrasse 34, 8008 Zürich, Switzerland",http://www.argo.ch/,,,,,,,,,,,,,,,,,,
Arium AG c/o MFT Meier Finanz-Treuhand AG,+41 44 226 16 60,,,,ChIJG6ldPQYKkEcR6qme5RQ77f0,@47.3760054,8.5341973,"Lintheschergasse 10, 8001 Zürich, Switzerland",,,,,,,,,,,,,,,,,,,
Asta-Treuhand + Revisions AG,+41 44 213 61 40,https://lh3.googleusercontent.com/p/AF1QipM7qVh2GjEONHp7aDNefMo3cgKVjhQxYfLZPYG1=s680-w680-h510,https://lh3.googleusercontent.com/p/AF1QipO8kLBIBcBH2fh1_6fO9uJzW0in6-H7xGyrdDSG=s680-w680-h510,https://lh3.googleusercontent.com/p/AF1QipOu0_9Ja8dAxTID_3d0pgnaqmaKYmZGPI6CnY9x=s680-w680-h510,ChIJjb-zowgKkEcRsvCZ_myNEtw,@47.4182807,8.5550469,"Leutschenbachstrasse 95, 8050 Zürich, Switzerland",http://astatreuhand.ch/,,,,,,,,,,,,,,,,,,
ATC Treuhand GmbH,+41 44 840 07 72,https://lh3.googleusercontent.com/p/AF1QipNQXSVuY2ibotlbS_33170PC3QdyhDMHb0lbNk2=s680-w680-h510,https://lh3.googleusercontent.com/p/AF1QipPstFz-5l8YqapgCIvmoxpdZBVQwNhFateFRWDi=s680-w680-h510,https://lh3.googleusercontent.com/p/AF1QipPd8krkpZg7V9v32uhzVOn36eypuNTGMLu0alHQ=s680-w680-h510,ChIJsWcO8TWnmkcR5Jk-pJULJEM,@47.3608723,8.5609528,"Hedwigstrasse 12, 8032 Zürich, Switzerland",http://www.atc-treuhand.ch/,,,,,,,,,,,,,,,,,,
ATI Treuhand AG,+41 44 222 09 35,,,,ChIJlVE-CAQKkEcRP1Rr4TAHi-E,@47.3722847,8.5331561,"Nüschelerstrasse 31, 8001 Zürich, Switzerland",http://www.ati-treuhand.ch/,,,,,,,,,,,,,,,,,,
Atrega Treuhand AG,+41 43 322 11 33,,https://lh3.googleusercontent.com/p/AF1QipOn7HEgN6owzrbVg3sW4d_KjK7qRlzNQHepV_UC=s2732-w2732-h1250-rw,,ChIJhVbCeRkKkEcRdF6JQOCBX7Q,@47.375192,8.3796997,"Kernstrasse 10, 8004 Zürich, Switzerland",http://www.atrega.ch/,,,,,,,,,,,,,,,,,,
"Atrega Treuhand AG, Treuhandunternehmen für Steuern",41433221133,,,,ChIJx-GedxkKkEcR8_KYJsdkVas,@47.3766279,8.5247282,"Kernstrasse, 8004 Zürich, Switzerland",http://www.atregatreuhand.ch/,,,,,,,,,,,,,,,,,,
Avalon Treuhand AG,+41 43 888 64 30,,https://lh3.googleusercontent.com/p/AF1QipNk859p1cIWyA2zIRNn4EKjcdNsesbNE4pV2cPc=s680-w680-h510,,ChIJJ3mkkaegmkcRNMUNZrNvNTU,@47.369107,8.5322564,"Am Schanzengraben 27, 8002 Zürich, Switzerland",https://avalon-treuhand.ch/,,,,,,,,,,,,,,,,,,
aviena ag · Digitale Treuhandleistungen,41445202875,,,,ChIJBWkDiaGhmkcRcWVT9VnhDno,@47.4195,8.5542553,"Schärenmoosstrasse 77, 8052 Zürich, Switzerland",http://www.aviena.ch/,,,,,,,,,,,,,,,,,,
avisora Treuhand AG,+41 44 541 01 90,,https://lh3.googleusercontent.com/p/AF1QipPiRHP960wkXkqC3jSIAatiZ54K7sqcWNv3wV3g=s680-w680-h510,,ChIJfR8GIQahmkcRhUMcBmYRM9g,@47.4148881,8.557419,"Hagenholzstrasse 85A, 8050 Zürich, Switzerland",https://www.avisora.ch/,,,,,,,,,,,,,,,,,,
BALVERO Treuhand AG,+41 44 586 84 94,https://lh3.googleusercontent.com/p/AF1QipNEBfa_kdm2OOli0AMuwRdvv2DCHBkNnmRJdFrX=s680-w680-h510,https://lh3.googleusercontent.com/p/AF1QipONTCLazKPGJAua0AmkPtHHolMIAU6AY2XUy0hf=s680-w680-h510,https://lh3.googleusercontent.com/p/AF1QipOqD2_zO23oOD8bqOu_sFrLBkLl3JL6xwdsuJJP=s680-w680-h510,ChIJqXEYQj8KkEcRQH2QsKnUWJw,@47.3691048,8.532283,"Am Schanzengraben 27, 8002 Zürich, Switzerland",http://www.balvero-treuhand.ch/,,,,,,,,,,,,,,,,,,
Bau-Stein Treuhand GmbH - kaufen und verkaufen von GmbH's,+41 44 500 21 31,https://lh3.googleusercontent.com/p/AF1QipOdKFeI4DCK0AYGLpjDaEYigb-6ZyrXkv6LblV5=s680-w680-h510,https://lh3.googleusercontent.com/p/AF1QipOxEm_AdbLD8fkXztUguq5mil74cQQasI4Dq9ny=s680-w680-h510,https://lh3.googleusercontent.com/p/AF1QipN_410uKebDKgvcqVmI8zypQO7tXMWnEmHnxPnQ=s680-w680-h510,ChIJhfO_UwAKkEcRV0BSQrFUBI8,@47.3689368,8.5357671,"Talstrasse 20, 8001 Zürich, Switzerland",https://bau-stein-treuhand.ch/,,,,,,,,,,,,,,,,,,
BELFIDA Treuhand AG,+41 44 491 33 15,,,,ChIJU56YB74LkEcRtWD-YjH1AtQ,@47.3779925,8.508863,"Badenerstrasse 334, 8004 Zürich, Switzerland",,,,,,,,,,,,,,,,,,,
Bellevue Treuhand GmbH,+41 44 780 80 01,https://lh3.googleusercontent.com/p/AF1QipOjevKdB1Mqga7pgoLRT6ZZFws7bV_H5ReDiWFN=s680-w680-h510,https://lh3.googleusercontent.com/p/AF1QipP0SEnny3_SVFCUjFwdkpMpFosMbMcItGTyDLFe=s680-w680-h510,https://lh3.googleusercontent.com/p/AF1QipOgE9p5LOtBPLdxgyoSXxuLbG5v0x_E3K12IHa2=s680-w680-h510,ChIJUcj8pZmhmkcRwK3wSjf2g8M,@47.3679799,8.5430195,"Torgasse 6, 8001 Zürich, Switzerland",https://bellevuetreuhand.ch/,,,,,,,,,,,,,,,,,,
Besis - Treuhand,+41 44 523 66 86,,,,ChIJx-3pfBELkEcR1ScrrqMDcXQ,@47.3848796,8.5312381,"Sihlquai 131, 8005 Zürich, Switzerland",,,,,,,,,,,,,,,,,,,
Betschon Treuhand AG,+41 44 439 70 10,,,,ChIJUX4MBrcLkEcRCnuJ7UdQ6oY,@47.3930956,8.4872441,"Aargauerstrasse 250, 8048 Zürich, Switzerland",,,,,,,,,,,,,,,,,,,
Binder Treuhand AG,+41 44 341 35 55,,https://lh3.googleusercontent.com/p/AF1QipMuBQnl_sqNUO75eQLnN-EwLjSGJa7-Ck2dIIh1=s680-w680-h510,https://lh3.googleusercontent.com/p/AF1QipPhUKtr9qwn_ipl7GH25M9dSoCyyIgTM9_eQjSH=s680-w680-h510,ChIJp1SuNawLkEcRxsCaqL8FDgo,@47.4022176,8.4950421,"Limmattalstrasse 206, 8049 Zürich, Switzerland",http://www.binder-treuhand.ch/,,,,,,,,,,,,,,,,,,
Blum Verwaltungs- und Treuhand AG,+41 44 488 40 60,,,,ChIJIRYBMQQKkEcRkadzSl8MgrY,@47.3738864,8.5295785,"Löwenstrasse 20, 8001 Zürich, Switzerland",http://www.blum-treuhand.ch/,,,,,,,,,,,,,,,,,,
Bosshard Treuhand,+41 77 403 35 44,,,,ChIJFWf-ZxAKkEcR7JKE8Rz1s8U,@47.3785929,8.4935041,"Militärstrasse 85, 8004 Zürich, Switzerland",http://www.bosshard-treuhand.ch/,,,,,,,,,,,,,,,,,,
BSP Treuhand AG,+41 44 380 82 82,,,,ChIJWfNGBE-nmkcRNFBngRYbNL4,@47.3580244,8.5513082,"Lindenstrasse 38, 8008 Zürich, Switzerland",http://www.bsptreuhand.ch/,,,,,,,,,,,,,,,,,,
BTO Treuhand AG,+41 44 381 81 81,https://lh3.googleusercontent.com/p/AF1QipMJGGSxo1PZdQM_93uSDslS7B-wlRdW1xFDmO0p=s680-w680-h510,https://lh3.googleusercontent.com/p/AF1QipNClrEEROUc2OAyaSWAGKnS3JRkjkATttPkvcTx=s680-w680-h510,,ChIJUQ4ByjWnmkcRmlv2b3B_Po4,@47.3587813,8.5526199,"Riesbachstrasse 57, 8008 Zürich, Switzerland",https://www.bto-ag.ch/,,,,,,,,,,,,,,,,,,
